"","x","y","stem.dens","basal.area","biomass","diam"
"19065",893000,982000,244.960415171782,35.091938939147,77.5472882048125,30.3077966101695
"19066",901000,982000,227.112091752341,29.7956343694414,74.2795677872213,30.1267549668874
"19067",909000,982000,255.418978720841,45.9341072134042,107.156438948582,29.7197278911565
"19068",917000,982000,202.014881405932,35.2268355098058,93.6783829191779,31.4597142857143
"19069",925000,982000,311.021905783932,45.5838730986217,130.802898172655,30.684367816092
"19070",933000,982000,266.912965792186,32.2944544205495,74.44433972812,27.2661224489796
"19071",941000,982000,244.157768323058,26.602856404444,60.8830808132267,26.8771631205674
"19072",949000,982000,353.35611808524,48.6595135430275,135.505376037837,27.922602739726
"19073",957000,982000,272.133910265587,32.873454232392,91.8970354463197,25.7833962264151
"19074",965000,982000,221.439373330723,30.578135906091,66.4448060759448,29.6496153846154
"19075",973000,982000,244.723317952448,16.8644264301842,31.427317339609,20.32
"19244",-43000,974000,0.032451497657216,0.0152101603280143,0.0836876250495535,44.45
"19245",-35000,974000,0,0,0,NA
"19246",-27000,974000,1.49856577803327,0.183685572966668,0.539025855069629,26.035
"19247",-19000,974000,0.318090149979639,0.157310370229402,0.590706890804724,43.18
"19248",-11000,974000,0,0,0,NA
"19249",-3000,974000,0,0,0,NA
"19250",5000,974000,0,0,0,NA
"19251",13000,974000,0,0,0,NA
"19252",21000,974000,0,0,0,NA
"19253",29000,974000,0.140358741845522,0.0302263503061824,0.124056442315913,36.83
"19254",37000,974000,0,0,0,NA
"19255",45000,974000,12.659474763899,1.19044765150353,2.88981430082053,25.0825
"19256",53000,974000,7.27638662031797,1.12400617234059,1.95789167195408,29.464
"19257",61000,974000,0,0,0,NA
"19258",69000,974000,0,0,0,NA
"19259",77000,974000,0,0,0,NA
"19260",85000,974000,0,0,0,NA
"19261",93000,974000,0,0,0,NA
"19262",101000,974000,0,0,0,NA
"19263",109000,974000,0.0187243534550332,0.00247630795353884,0.00950620255689289,26.67
"19264",117000,974000,0,0,0,NA
"19265",125000,974000,5.61218666923079,4.25730851271525,20.9458229077253,38.4175
"19266",133000,974000,25.4478369904504,2.67433532414406,5.06844128742318,23.5338775510204
"19267",141000,974000,63.5843327787527,6.4959800467385,14.5408532093112,21.4357009345794
"19268",149000,974000,115.099869496732,10.0585851354799,20.3934455507823,25.0937588652482
"19269",157000,974000,98.875009669763,21.6823475455981,59.7044390281435,27.7253521126761
"19270",165000,974000,75.8821662367838,20.4156398305147,64.4178698719734,28.9641935483871
"19271",173000,974000,57.8004052892569,17.4956548389177,39.2445545026139,34.1959259259259
"19272",181000,974000,39.3228855829068,9.3449470975801,25.2807816817034,35.890406504065
"19273",189000,974000,18.6137888593588,4.04034205480694,9.90648379142917,32.689593495935
"19274",197000,974000,24.3687074595171,3.97666539071041,12.1716305200691,21.8562903225806
"19275",205000,974000,14.7028772068578,2.39561556570755,6.20019367592016,25.6152542372881
"19276",213000,974000,4.27307611736543,0.592968789945711,2.22877980903516,31.0204255319149
"19277",221000,974000,24.7996409065058,6.6376791452189,23.3195575856664,34.3807142857143
"19278",229000,974000,34.2320705280208,6.08141869944022,20.5689325777588,33.0609677419355
"19279",237000,974000,25.4479184926142,4.53674710487082,13.6278551248266,29.9936170212766
"19280",245000,974000,34.6065631765484,3.84922652286426,14.0104140754493,28.3178512396694
"19281",253000,974000,7.79601969338338,0.849159845619753,2.10359641449087,23.6706382978723
"19282",261000,974000,10.4030674973395,0.984953823503657,3.49712259436034,24.0862068965517
"19283",269000,974000,2.15814024209484,0.543911909692962,1.20968995618619,30.48
"19284",277000,974000,4.5355244774466,0.643034233980372,1.79989500097137,27.7090909090909
"19285",285000,974000,155.111509742501,25.8701177302579,122.615669737773,27.2041121495327
"19286",293000,974000,171.073672002702,34.3964325647034,149.011680715068,32.7546268656716
"19287",301000,974000,144.32622419033,25.8502919451012,78.4457886377589,29.7248648648649
"19288",309000,974000,165.199475758226,26.2928256547863,73.8283084088614,31.1584931506849
"19289",317000,974000,50.1501412959207,10.4729190419908,36.9859013280878,30.371914893617
"19290",325000,974000,19.7797373158897,2.76457723982982,6.76340288156367,28.5044444444444
"19291",333000,974000,22.7640935393211,1.92153536250769,3.29880220715321,23.3135714285714
"19292",341000,974000,8.57626905829127,0.789401702598531,1.96122366793583,23.2448484848485
"19293",349000,974000,31.3622718497152,4.76567539600389,10.0182599269774,24.4021428571429
"19294",357000,974000,91.3556548978013,15.3593313506954,38.3930758465462,27.4026923076923
"19295",365000,974000,194.231631016082,32.9017311782838,84.9182819586743,30.4613235294118
"19296",373000,974000,182.703261237456,32.1956296355017,90.6001134300523,30.2568918918919
"19297",381000,974000,281.491439464159,44.9170554384836,137.762896649154,26.7214864864865
"19298",389000,974000,230.757454525899,40.2767444155334,108.775185129363,29.4502702702703
"19299",397000,974000,264.756047537385,47.9768323645218,135.48526597058,32.0675
"19300",405000,974000,206.395914218637,46.6234130658505,140.27039727951,35.56
"19301",413000,974000,235.720456857903,43.256449010241,130.28129972144,33.3944871794872
"19302",421000,974000,281.879602650684,48.2587761633899,133.421801817499,33.1893333333333
"19303",429000,974000,231.035039819817,54.4719391856644,171.433167800716,35.5781428571429
"19304",437000,974000,259.369200000815,57.406858737679,170.993330292322,32.9647826086957
"19305",445000,974000,230.300782310178,54.8622546496382,139.724871199754,30.7473684210526
"19306",453000,974000,254.9239079071,49.0793217240391,127.105199510243,31.4790666666667
"19307",461000,974000,191.937534234697,37.2027087601548,108.527046708839,32.5814388489209
"19308",469000,974000,243.490588700143,41.9842817697443,100.566198666565,30.4981428571429
"19309",477000,974000,180.530686256393,49.061603275583,165.25568584391,35.0981818181818
"19310",485000,974000,179.137388839134,52.8232188127639,154.405082303913,36.5795774647887
"19311",493000,974000,225.383005559964,61.7908750641717,173.614295420932,33.6132846715328
"19312",501000,974000,235.922873999431,47.8710575960267,191.176755669137,34.0067625899281
"19313",509000,974000,257.835211499772,49.5441093045373,148.702982734786,30.696170212766
"19314",517000,974000,393.24274513558,64.7874108586855,184.585323744019,29.947972972973
"19315",525000,974000,482.016323350975,64.2141077391817,156.8024958282,25.2515584415584
"19316",533000,974000,394.307198581594,53.2497268751862,124.476560652147,27.2168055555556
"19317",541000,974000,409.373975832994,58.2366502309579,232.677764155557,27.6964383561644
"19318",549000,974000,245.320313482471,56.3285009325118,190.389017965657,32.0631506849315
"19319",557000,974000,214.399942266682,57.4585717614295,170.767171501816,35.2642465753425
"19320",565000,974000,257.964189514248,59.5820571610103,251.138976987941,35.6121917808219
"19321",573000,974000,282.005346169303,60.954367828465,164.434881940654,33.7354929577465
"19322",581000,974000,408.192654554569,82.9635865388172,199.700283412418,29.7145205479452
"19323",589000,974000,300.800234012458,54.8676075279439,118.006304920505,28.0416
"19324",597000,974000,241.329511559875,36.1997052746242,163.11911723595,33.5972727272727
"19325",605000,974000,147.349527830382,30.1936894783643,78.3685368117906,32.3305714285714
"19326",613000,974000,122.977058570777,15.4995944264625,33.6236499140414,30.065306122449
