"","x","y","cell","plots"
"4452",21000,1374000,4452,73
"4453",29000,1374000,4453,65
"4454",37000,1374000,4454,62
"4455",45000,1374000,4455,60
"4456",53000,1374000,4456,22
"4457",61000,1374000,4457,3
"4458",69000,1374000,4458,21
"4459",77000,1374000,4459,49
"4460",85000,1374000,4460,52
"4461",93000,1374000,4461,69
"4462",101000,1374000,4462,33
"4463",109000,1374000,4463,45
"4464",117000,1374000,4464,69
"4465",125000,1374000,4465,72
"4466",133000,1374000,4466,72
"4467",141000,1374000,4467,73
"4468",149000,1374000,4468,70
"4469",157000,1374000,4469,58
"4470",165000,1374000,4470,64
"4471",173000,1374000,4471,80
"4472",181000,1374000,4472,70
"4473",189000,1374000,4473,72
"4474",197000,1374000,4474,73
"4475",205000,1374000,4475,73
"4476",213000,1374000,4476,71
"4477",221000,1374000,4477,78
"4478",229000,1374000,4478,73
"4479",237000,1374000,4479,69
"4480",245000,1374000,4480,74
"4481",253000,1374000,4481,71
"4482",261000,1374000,4482,67
"4483",269000,1374000,4483,68
"4484",277000,1374000,4484,61
"4485",285000,1374000,4485,65
"4486",293000,1374000,4486,31
"4487",301000,1374000,4487,7
"4488",309000,1374000,4488,2
"4743",-19000,1366000,4743,46
"4744",-11000,1366000,4744,72
"4745",-3000,1366000,4745,73
"4746",5000,1366000,4746,74
"4747",13000,1366000,4747,72
"4748",21000,1366000,4748,72
"4749",29000,1366000,4749,61
"4750",37000,1366000,4750,69
"4751",45000,1366000,4751,67
"4752",53000,1366000,4752,61
"4753",61000,1366000,4753,68
"4754",69000,1366000,4754,57
"4755",77000,1366000,4755,58
"4756",85000,1366000,4756,45
"4757",93000,1366000,4757,70
"4758",101000,1366000,4758,34
"4759",109000,1366000,4759,61
"4760",117000,1366000,4760,71
"4761",125000,1366000,4761,57
"4762",133000,1366000,4762,54
"4763",141000,1366000,4763,59
"4764",149000,1366000,4764,56
"4765",157000,1366000,4765,47
"4766",165000,1366000,4766,46
"4767",173000,1366000,4767,56
"4768",181000,1366000,4768,71
"4769",189000,1366000,4769,72
"4770",197000,1366000,4770,71
"4771",205000,1366000,4771,69
"4772",213000,1366000,4772,71
"4773",221000,1366000,4773,73
"4774",229000,1366000,4774,74
"4775",237000,1366000,4775,71
"4776",245000,1366000,4776,75
"4777",253000,1366000,4777,75
"4778",261000,1366000,4778,75
"4779",269000,1366000,4779,72
"4780",277000,1366000,4780,41
"4781",285000,1366000,4781,34
"4782",293000,1366000,4782,66
"4783",301000,1366000,4783,50
"4784",309000,1366000,4784,12
"5038",-27000,1358000,5038,14
"5039",-19000,1358000,5039,73
"5040",-11000,1358000,5040,74
"5041",-3000,1358000,5041,73
"5042",5000,1358000,5042,75
"5043",13000,1358000,5043,73
"5044",21000,1358000,5044,74
"5045",29000,1358000,5045,67
"5046",37000,1358000,5046,73
"5047",45000,1358000,5047,58
"5048",53000,1358000,5048,63
"5049",61000,1358000,5049,67
"5050",69000,1358000,5050,72
"5051",77000,1358000,5051,69
"5052",85000,1358000,5052,75
"5053",93000,1358000,5053,69
"5054",101000,1358000,5054,47
"5055",109000,1358000,5055,65
"5056",117000,1358000,5056,73
"5057",125000,1358000,5057,72
"5058",133000,1358000,5058,75
"5059",141000,1358000,5059,61
"5060",149000,1358000,5060,70
"5061",157000,1358000,5061,45
"5062",165000,1358000,5062,61
"5063",173000,1358000,5063,77
"5064",181000,1358000,5064,74
"5065",189000,1358000,5065,73
"5066",197000,1358000,5066,74
"5067",205000,1358000,5067,73
"5068",213000,1358000,5068,73
"5069",221000,1358000,5069,79
"5070",229000,1358000,5070,75
"5071",237000,1358000,5071,73
"5072",245000,1358000,5072,72
"5073",253000,1358000,5073,71
"5074",261000,1358000,5074,71
"5075",269000,1358000,5075,75
"5076",277000,1358000,5076,86
"5077",285000,1358000,5077,66
"5078",293000,1358000,5078,72
"5079",301000,1358000,5079,65
"5080",309000,1358000,5080,36
"5081",317000,1358000,5081,19
"5334",-27000,1350000,5334,8
"5335",-19000,1350000,5335,72
"5336",-11000,1350000,5336,76
"5337",-3000,1350000,5337,74
"5338",5000,1350000,5338,72
"5339",13000,1350000,5339,74
"5340",21000,1350000,5340,76
"5341",29000,1350000,5341,72
"5342",37000,1350000,5342,72
"5343",45000,1350000,5343,71
"5344",53000,1350000,5344,52
"5345",61000,1350000,5345,55
"5346",69000,1350000,5346,50
"5347",77000,1350000,5347,48
"5348",85000,1350000,5348,57
"5349",93000,1350000,5349,58
"5350",101000,1350000,5350,43
"5351",109000,1350000,5351,74
"5352",117000,1350000,5352,70
"5353",125000,1350000,5353,56
"5354",133000,1350000,5354,23
"5355",141000,1350000,5355,6
"5357",157000,1350000,5357,10
"5358",165000,1350000,5358,37
"5359",173000,1350000,5359,62
"5360",181000,1350000,5360,70
"5361",189000,1350000,5361,75
"5362",197000,1350000,5362,73
"5363",205000,1350000,5363,72
"5364",213000,1350000,5364,75
"5365",221000,1350000,5365,81
"5366",229000,1350000,5366,66
"5367",237000,1350000,5367,75
"5368",245000,1350000,5368,71
"5369",253000,1350000,5369,72
"5370",261000,1350000,5370,69
"5371",269000,1350000,5371,78
"5372",277000,1350000,5372,75
"5373",285000,1350000,5373,70
"5374",293000,1350000,5374,81
"5375",301000,1350000,5375,71
"5376",309000,1350000,5376,66
"5377",317000,1350000,5377,35
"5379",333000,1350000,5379,1
"5380",341000,1350000,5380,2
"5630",-27000,1342000,5630,2
"5631",-19000,1342000,5631,67
"5632",-11000,1342000,5632,73
"5633",-3000,1342000,5633,75
"5634",5000,1342000,5634,73
"5635",13000,1342000,5635,79
"5636",21000,1342000,5636,73
"5637",29000,1342000,5637,73
"5638",37000,1342000,5638,81
"5639",45000,1342000,5639,67
"5640",53000,1342000,5640,75
"5641",61000,1342000,5641,77
"5642",69000,1342000,5642,79
"5643",77000,1342000,5643,64
"5644",85000,1342000,5644,47
"5645",93000,1342000,5645,46
"5646",101000,1342000,5646,39
"5647",109000,1342000,5647,63
"5648",117000,1342000,5648,36
"5649",125000,1342000,5649,18
"5650",133000,1342000,5650,21
"5651",141000,1342000,5651,10
"5652",149000,1342000,5652,4
"5653",157000,1342000,5653,17
"5654",165000,1342000,5654,64
"5655",173000,1342000,5655,77
"5656",181000,1342000,5656,74
"5657",189000,1342000,5657,76
"5658",197000,1342000,5658,72
"5659",205000,1342000,5659,72
"5660",213000,1342000,5660,70
"5661",221000,1342000,5661,80
"5662",229000,1342000,5662,73
"5663",237000,1342000,5663,73
"5664",245000,1342000,5664,74
"5665",253000,1342000,5665,77
"5666",261000,1342000,5666,76
"5667",269000,1342000,5667,73
"5668",277000,1342000,5668,69
"5669",285000,1342000,5669,74
"5670",293000,1342000,5670,82
"5671",301000,1342000,5671,74
"5672",309000,1342000,5672,73
"5673",317000,1342000,5673,55
"5674",325000,1342000,5674,4
"5675",333000,1342000,5675,46
"5676",341000,1342000,5676,58
"5677",349000,1342000,5677,30
"5927",-19000,1334000,5927,59
"5928",-11000,1334000,5928,73
"5929",-3000,1334000,5929,72
"5930",5000,1334000,5930,76
"5931",13000,1334000,5931,72
"5932",21000,1334000,5932,72
"5933",29000,1334000,5933,69
"5934",37000,1334000,5934,73
"5935",45000,1334000,5935,65
"5936",53000,1334000,5936,58
"5937",61000,1334000,5937,68
"5938",69000,1334000,5938,68
"5939",77000,1334000,5939,82
"5940",85000,1334000,5940,50
"5941",93000,1334000,5941,48
"5942",101000,1334000,5942,39
"5943",109000,1334000,5943,12
"5946",133000,1334000,5946,18
"5947",141000,1334000,5947,36
"5948",149000,1334000,5948,68
"5949",157000,1334000,5949,73
"5950",165000,1334000,5950,80
"5951",173000,1334000,5951,75
"5952",181000,1334000,5952,72
"5953",189000,1334000,5953,71
"5954",197000,1334000,5954,72
"5955",205000,1334000,5955,74
"5956",213000,1334000,5956,70
"5957",221000,1334000,5957,74
"5958",229000,1334000,5958,72
"5959",237000,1334000,5959,72
"5960",245000,1334000,5960,70
"5961",253000,1334000,5961,68
"5962",261000,1334000,5962,74
"5963",269000,1334000,5963,68
"5964",277000,1334000,5964,72
"5965",285000,1334000,5965,72
"5966",293000,1334000,5966,75
"5967",301000,1334000,5967,72
"5968",309000,1334000,5968,75
"5969",317000,1334000,5969,69
"5970",325000,1334000,5970,49
"5971",333000,1334000,5971,60
"5972",341000,1334000,5972,66
"5973",349000,1334000,5973,54
"5974",357000,1334000,5974,13
"6223",-19000,1326000,6223,41
"6224",-11000,1326000,6224,73
"6225",-3000,1326000,6225,73
"6226",5000,1326000,6226,73
"6227",13000,1326000,6227,71
"6228",21000,1326000,6228,72
"6229",29000,1326000,6229,69
"6230",37000,1326000,6230,66
"6231",45000,1326000,6231,71
"6232",53000,1326000,6232,71
"6233",61000,1326000,6233,73
"6234",69000,1326000,6234,71
"6235",77000,1326000,6235,57
"6236",85000,1326000,6236,34
"6237",93000,1326000,6237,32
"6238",101000,1326000,6238,71
"6239",109000,1326000,6239,12
"6243",141000,1326000,6243,4
"6244",149000,1326000,6244,71
"6245",157000,1326000,6245,70
"6246",165000,1326000,6246,72
"6247",173000,1326000,6247,81
"6248",181000,1326000,6248,76
"6249",189000,1326000,6249,73
"6250",197000,1326000,6250,75
"6251",205000,1326000,6251,72
"6252",213000,1326000,6252,71
"6253",221000,1326000,6253,81
"6254",229000,1326000,6254,76
"6255",237000,1326000,6255,78
"6256",245000,1326000,6256,70
"6257",253000,1326000,6257,71
"6258",261000,1326000,6258,68
"6259",269000,1326000,6259,48
"6260",277000,1326000,6260,73
"6261",285000,1326000,6261,68
"6262",293000,1326000,6262,70
"6263",301000,1326000,6263,71
"6264",309000,1326000,6264,74
"6265",317000,1326000,6265,74
"6266",325000,1326000,6266,70
"6267",333000,1326000,6267,72
"6268",341000,1326000,6268,74
"6269",349000,1326000,6269,68
"6270",357000,1326000,6270,61
"6271",365000,1326000,6271,37
"6272",373000,1326000,6272,10
"6279",429000,1326000,6279,1
"6280",437000,1326000,6280,8
"6519",-19000,1318000,6519,26
"6520",-11000,1318000,6520,63
"6521",-3000,1318000,6521,68
"6522",5000,1318000,6522,71
"6523",13000,1318000,6523,72
"6524",21000,1318000,6524,67
"6525",29000,1318000,6525,62
"6526",37000,1318000,6526,71
"6527",45000,1318000,6527,75
"6528",53000,1318000,6528,74
"6529",61000,1318000,6529,72
"6530",69000,1318000,6530,55
"6531",77000,1318000,6531,55
"6532",85000,1318000,6532,58
"6533",93000,1318000,6533,63
"6534",101000,1318000,6534,68
"6535",109000,1318000,6535,63
"6536",117000,1318000,6536,61
"6537",125000,1318000,6537,63
"6538",133000,1318000,6538,60
"6539",141000,1318000,6539,53
"6540",149000,1318000,6540,73
"6541",157000,1318000,6541,71
"6542",165000,1318000,6542,74
"6543",173000,1318000,6543,72
"6544",181000,1318000,6544,72
"6545",189000,1318000,6545,74
"6546",197000,1318000,6546,72
"6547",205000,1318000,6547,73
"6548",213000,1318000,6548,74
"6549",221000,1318000,6549,78
"6550",229000,1318000,6550,72
"6551",237000,1318000,6551,70
"6552",245000,1318000,6552,70
"6553",253000,1318000,6553,70
"6554",261000,1318000,6554,79
"6555",269000,1318000,6555,76
"6556",277000,1318000,6556,63
"6557",285000,1318000,6557,44
"6558",293000,1318000,6558,70
"6559",301000,1318000,6559,71
"6560",309000,1318000,6560,73
"6561",317000,1318000,6561,71
"6562",325000,1318000,6562,71
"6563",333000,1318000,6563,76
"6564",341000,1318000,6564,74
"6565",349000,1318000,6565,68
"6566",357000,1318000,6566,71
"6567",365000,1318000,6567,70
"6568",373000,1318000,6568,31
"6573",413000,1318000,6573,10
"6574",421000,1318000,6574,45
"6575",429000,1318000,6575,50
"6576",437000,1318000,6576,30
"6815",-19000,1310000,6815,21
"6816",-11000,1310000,6816,49
"6817",-3000,1310000,6817,37
"6818",5000,1310000,6818,70
"6819",13000,1310000,6819,76
"6820",21000,1310000,6820,69
"6821",29000,1310000,6821,60
"6822",37000,1310000,6822,58
"6823",45000,1310000,6823,55
"6824",53000,1310000,6824,62
"6825",61000,1310000,6825,62
"6826",69000,1310000,6826,68
"6827",77000,1310000,6827,72
"6828",85000,1310000,6828,63
"6829",93000,1310000,6829,69
"6830",101000,1310000,6830,68
"6831",109000,1310000,6831,61
"6832",117000,1310000,6832,65
"6833",125000,1310000,6833,66
"6834",133000,1310000,6834,72
"6835",141000,1310000,6835,72
"6836",149000,1310000,6836,72
"6837",157000,1310000,6837,70
"6838",165000,1310000,6838,79
"6839",173000,1310000,6839,60
"6840",181000,1310000,6840,52
"6841",189000,1310000,6841,76
"6842",197000,1310000,6842,78
"6843",205000,1310000,6843,73
"6844",213000,1310000,6844,88
"6845",221000,1310000,6845,77
"6846",229000,1310000,6846,75
"6847",237000,1310000,6847,73
"6848",245000,1310000,6848,81
"6849",253000,1310000,6849,70
"6850",261000,1310000,6850,76
"6851",269000,1310000,6851,86
"6852",277000,1310000,6852,73
"6853",285000,1310000,6853,66
"6854",293000,1310000,6854,70
"6855",301000,1310000,6855,62
"6856",309000,1310000,6856,74
"6857",317000,1310000,6857,71
"6858",325000,1310000,6858,68
"6859",333000,1310000,6859,74
"6860",341000,1310000,6860,67
"6861",349000,1310000,6861,58
"6862",357000,1310000,6862,68
"6863",365000,1310000,6863,56
"6864",373000,1310000,6864,45
"6865",381000,1310000,6865,23
"6866",389000,1310000,6866,19
"6867",397000,1310000,6867,23
"6868",405000,1310000,6868,22
"6869",413000,1310000,6869,48
"6870",421000,1310000,6870,63
"6871",429000,1310000,6871,54
"6872",437000,1310000,6872,67
"6873",445000,1310000,6873,3
"6874",453000,1310000,6874,10
"7111",-19000,1302000,7111,29
"7112",-11000,1302000,7112,59
"7113",-3000,1302000,7113,38
"7114",5000,1302000,7114,57
"7115",13000,1302000,7115,69
"7116",21000,1302000,7116,73
"7117",29000,1302000,7117,67
"7118",37000,1302000,7118,64
"7119",45000,1302000,7119,59
"7120",53000,1302000,7120,64
"7121",61000,1302000,7121,70
"7122",69000,1302000,7122,61
"7123",77000,1302000,7123,81
"7124",85000,1302000,7124,69
"7125",93000,1302000,7125,63
"7126",101000,1302000,7126,68
"7127",109000,1302000,7127,82
"7128",117000,1302000,7128,71
"7129",125000,1302000,7129,56
"7130",133000,1302000,7130,61
"7131",141000,1302000,7131,71
"7132",149000,1302000,7132,64
"7133",157000,1302000,7133,69
"7134",165000,1302000,7134,77
"7135",173000,1302000,7135,75
"7136",181000,1302000,7136,72
"7137",189000,1302000,7137,74
"7138",197000,1302000,7138,72
"7139",205000,1302000,7139,74
"7140",213000,1302000,7140,88
"7141",221000,1302000,7141,74
"7142",229000,1302000,7142,64
"7143",237000,1302000,7143,60
"7144",245000,1302000,7144,67
"7145",253000,1302000,7145,74
"7146",261000,1302000,7146,78
"7147",269000,1302000,7147,76
"7148",277000,1302000,7148,68
"7149",285000,1302000,7149,71
"7150",293000,1302000,7150,73
"7151",301000,1302000,7151,70
"7152",309000,1302000,7152,73
"7153",317000,1302000,7153,61
"7154",325000,1302000,7154,47
"7155",333000,1302000,7155,66
"7156",341000,1302000,7156,64
"7157",349000,1302000,7157,62
"7158",357000,1302000,7158,63
"7159",365000,1302000,7159,77
"7160",373000,1302000,7160,69
"7161",381000,1302000,7161,60
"7162",389000,1302000,7162,59
"7163",397000,1302000,7163,64
"7164",405000,1302000,7164,58
"7165",413000,1302000,7165,63
"7166",421000,1302000,7166,61
"7167",429000,1302000,7167,61
"7168",437000,1302000,7168,67
"7169",445000,1302000,7169,58
"7170",453000,1302000,7170,57
"7171",461000,1302000,7171,55
"7172",469000,1302000,7172,54
"7173",477000,1302000,7173,48
"7174",485000,1302000,7174,42
"7175",493000,1302000,7175,32
"7407",-19000,1294000,7407,31
"7408",-11000,1294000,7408,60
"7409",-3000,1294000,7409,10
"7410",5000,1294000,7410,73
"7411",13000,1294000,7411,78
"7412",21000,1294000,7412,78
"7413",29000,1294000,7413,74
"7414",37000,1294000,7414,70
"7415",45000,1294000,7415,68
"7416",53000,1294000,7416,72
"7417",61000,1294000,7417,66
"7418",69000,1294000,7418,62
"7419",77000,1294000,7419,77
"7420",85000,1294000,7420,54
"7421",93000,1294000,7421,71
"7422",101000,1294000,7422,68
"7423",109000,1294000,7423,70
"7424",117000,1294000,7424,69
"7425",125000,1294000,7425,65
"7426",133000,1294000,7426,54
"7427",141000,1294000,7427,61
"7428",149000,1294000,7428,67
"7429",157000,1294000,7429,71
"7430",165000,1294000,7430,77
"7431",173000,1294000,7431,74
"7432",181000,1294000,7432,71
"7433",189000,1294000,7433,75
"7434",197000,1294000,7434,67
"7435",205000,1294000,7435,70
"7436",213000,1294000,7436,83
"7437",221000,1294000,7437,80
"7438",229000,1294000,7438,71
"7439",237000,1294000,7439,67
"7440",245000,1294000,7440,69
"7441",253000,1294000,7441,74
"7442",261000,1294000,7442,78
"7443",269000,1294000,7443,77
"7444",277000,1294000,7444,59
"7445",285000,1294000,7445,68
"7446",293000,1294000,7446,72
"7447",301000,1294000,7447,74
"7448",309000,1294000,7448,67
"7449",317000,1294000,7449,46
"7450",325000,1294000,7450,29
"7451",333000,1294000,7451,58
"7452",341000,1294000,7452,70
"7453",349000,1294000,7453,68
"7454",357000,1294000,7454,72
"7455",365000,1294000,7455,66
"7456",373000,1294000,7456,68
"7457",381000,1294000,7457,59
"7458",389000,1294000,7458,64
"7459",397000,1294000,7459,69
"7460",405000,1294000,7460,71
"7461",413000,1294000,7461,65
"7462",421000,1294000,7462,70
"7463",429000,1294000,7463,64
"7464",437000,1294000,7464,60
"7465",445000,1294000,7465,59
"7466",453000,1294000,7466,55
"7467",461000,1294000,7467,61
"7468",469000,1294000,7468,68
"7469",477000,1294000,7469,71
"7470",485000,1294000,7470,58
"7471",493000,1294000,7471,57
"7472",501000,1294000,7472,24
"7473",509000,1294000,7473,7
"7474",517000,1294000,7474,14
"7475",525000,1294000,7475,4
"7703",-19000,1286000,7703,32
"7704",-11000,1286000,7704,47
"7705",-3000,1286000,7705,56
"7706",5000,1286000,7706,72
"7707",13000,1286000,7707,73
"7708",21000,1286000,7708,74
"7709",29000,1286000,7709,71
"7710",37000,1286000,7710,70
"7711",45000,1286000,7711,70
"7712",53000,1286000,7712,72
"7713",61000,1286000,7713,59
"7714",69000,1286000,7714,62
"7715",77000,1286000,7715,74
"7716",85000,1286000,7716,71
"7717",93000,1286000,7717,68
"7718",101000,1286000,7718,73
"7719",109000,1286000,7719,78
"7720",117000,1286000,7720,74
