"","x","y","cell","Grass","TBDT","TNDT","TNET"
"1222",85000,1374000,4460,0,74.2331640180751,0.423430481462609,0
"1301",93000,1374000,4461,0,2.01516330438152,0,0
"1380",101000,1374000,4462,0,10.884054348889,2.72540727857721,8.38150345020499
"1459",109000,1374000,4463,0,8.09850566725644,9.6171233125616,0.402836081497541
"1535",117000,1374000,4464,0,53.3202637336753,144.251139237541,30.2177669753821
"1611",125000,1374000,4465,0,9.07202253245616,129.739829436826,40.6216665612177
"1687",133000,1374000,4466,0,1.71703596153476,116.046987384005,65.9544253328324
"1767",141000,1374000,4467,0,1.68658600998288,80.3747950388267,26.5533163738914
"1848",149000,1374000,4468,0,7.22841662389416,47.188590761308,25.5987950638147
"1930",157000,1374000,4469,0,21.5003249436334,30.2256216263918,55.1415186632744
"2011",165000,1374000,4470,0,2.28147850977419,109.880453263328,31.2619443323121
"2087",173000,1374000,4471,0,2.38555404552007,154.894689050272,54.5862409848072
"2161",181000,1374000,4472,0,10.3619208445983,306.010012432411,38.7602710731876
"2235",189000,1374000,4473,0,6.09778739151814,129.591078709468,63.6914768848116
"2308",197000,1374000,4474,0,69.4762772122911,112.873364785518,93.7011947765106
"2379",205000,1374000,4475,0,34.1136969344193,108.197626646403,288.227535570061
"2453",213000,1374000,4476,0,57.1723342809296,32.2957193764298,203.100650756095
"2527",221000,1374000,4477,0,87.4144928585419,100.94207458784,126.872344258453
"2600",229000,1374000,4478,0,51.8218395746421,83.9024118865773,132.734889590858
"2672",237000,1374000,4479,0,72.0794008051179,90.7781863577994,189.204443094179
"2744",245000,1374000,4480,0,88.4907850713774,107.010155917858,125.816598135347
"2816",253000,1374000,4481,0,86.0852518529211,52.2609418424526,266.783171638061
"2888",261000,1374000,4482,0,56.0347953682761,106.626497138989,239.79970983194
"2960",269000,1374000,4483,0,74.8958070315297,110.260677694263,180.726597369111
"3033",277000,1374000,4484,0,122.173743510994,37.0171341796523,83.8396284802041
"3106",285000,1374000,4485,0,116.93159889016,13.9327030224775,274.63820863365
"3179",293000,1374000,4486,0,131.607247025229,14.1126257505787,218.058172865173
"3251",301000,1374000,4487,0,51.0707664075115,16.1674112860242,178.116601580092
"3323",309000,1374000,4488,0,0,0,72.1221358700056
"199",-19000,1366000,4743,0,0,0,0
"278",-11000,1366000,4744,0,0,0,0
"357",-3000,1366000,4745,0,0,0,0
"436",5000,1366000,4746,0,0,0,0
"515",13000,1366000,4747,0,0.303047956601966,0,0
"593",21000,1366000,4748,0,0,0,0
"671",29000,1366000,4749,0,1.21663546319546,0,0
"750",37000,1366000,4750,0,33.2181673369884,0,0
"829",45000,1366000,4751,0,1.33166870007079,0,0
"908",53000,1366000,4752,0,0.0307258433728442,0,0
"987",61000,1366000,4753,0,0,0,0
"1065",69000,1366000,4754,0,0.447020915175947,0,0
"1143",77000,1366000,4755,0,81.3120645341788,0,0
"1221",85000,1366000,4756,0,25.5613781014768,0,0
"1300",93000,1366000,4757,0,2.25432572996054,4.90545591529301,0
"1379",101000,1366000,4758,0,29.3134496535235,0,5.55739934836016
"1458",109000,1366000,4759,0,39.7267301714824,46.354896308849,11.799339879551
"1534",117000,1366000,4760,0,16.8717053892327,287.176235960537,71.742108802019
"1610",125000,1366000,4761,0,0,186.625802114555,20.6420542763051
"1686",133000,1366000,4762,0,0,106.020357453523,2.32523080546303
"1766",141000,1366000,4763,0,0,47.8456114696552,17.4919815449401
"1847",149000,1366000,4764,0,0,33.5730270719649,24.0207523725582
"1929",157000,1366000,4765,0,0,24.1792311796911,31.7683053654094
"2010",165000,1366000,4766,0,0,49.8460023061426,15.6160826638691
"2086",173000,1366000,4767,0,0,29.2599906236388,52.5249647966231
"2160",181000,1366000,4768,0,0,188.042735047646,37.6796101983135
"2234",189000,1366000,4769,0,0,274.098375672661,11.7493584037743
"2307",197000,1366000,4770,0,4.93158533986995,215.965247506713,117.768612426071
"2378",205000,1366000,4771,0,2.83243645750604,235.875991422615,207.115216079819
"2452",213000,1366000,4772,0,110.235933779494,147.954038301454,230.327302636323
"2526",221000,1366000,4773,0,46.5818684753695,53.8972054686794,198.116951525516
"2599",229000,1366000,4774,0,43.743062335082,33.924982622145,207.978734921882
"2671",237000,1366000,4775,0,86.3354544601018,43.8281059261168,248.258861272766
"2743",245000,1366000,4776,0,46.114955429121,64.3530486113172,275.052602678146
"2815",253000,1366000,4777,0,70.4345980406121,33.4210661968134,210.302239478629
"2887",261000,1366000,4778,0,78.5055349292445,20.9264517639898,312.32963539681
"2959",269000,1366000,4779,0,81.4359264015713,17.7598455416222,217.834873179059
"3032",277000,1366000,4780,0,107.895965295118,59.0031982571426,231.840642441249
"3105",285000,1366000,4781,0,153.767403067584,53.0518739848258,252.582514383946
"3178",293000,1366000,4782,0,94.9862997857027,10.9158648116172,119.360669921895
"3250",301000,1366000,4783,0,89.9627066270202,16.8954056845682,177.828419130403
"3322",309000,1366000,4784,0,19.7865477236527,0,31.0303919914761
"128",-27000,1358000,5038,0,10.3671677234454,0,0
