"x","y","cell","plots"
237000,1358000,5071,73
245000,1358000,5072,72
253000,1358000,5073,71
261000,1358000,5074,71
269000,1358000,5075,75
277000,1358000,5076,86
285000,1358000,5077,66
293000,1358000,5078,72
301000,1358000,5079,65
309000,1358000,5080,36
317000,1358000,5081,19
-27000,1350000,5334,8
-19000,1350000,5335,72
-11000,1350000,5336,76
-3000,1350000,5337,74
5000,1350000,5338,72
13000,1350000,5339,74
21000,1350000,5340,76
29000,1350000,5341,72
37000,1350000,5342,72
45000,1350000,5343,71
53000,1350000,5344,52
61000,1350000,5345,55
69000,1350000,5346,50
77000,1350000,5347,48
85000,1350000,5348,57
93000,1350000,5349,58
101000,1350000,5350,43
109000,1350000,5351,74
117000,1350000,5352,70
125000,1350000,5353,56
133000,1350000,5354,23
141000,1350000,5355,6
157000,1350000,5357,10
165000,1350000,5358,37
173000,1350000,5359,62
181000,1350000,5360,70
189000,1350000,5361,75
197000,1350000,5362,73
205000,1350000,5363,72
213000,1350000,5364,75
221000,1350000,5365,81
229000,1350000,5366,66
237000,1350000,5367,75
245000,1350000,5368,71
253000,1350000,5369,72
261000,1350000,5370,69
269000,1350000,5371,78
277000,1350000,5372,75
285000,1350000,5373,70
293000,1350000,5374,81
301000,1350000,5375,71
309000,1350000,5376,66
317000,1350000,5377,35
333000,1350000,5379,1
341000,1350000,5380,2
-27000,1342000,5630,2
-19000,1342000,5631,67
-11000,1342000,5632,73
-3000,1342000,5633,75
5000,1342000,5634,73
13000,1342000,5635,79
21000,1342000,5636,73
29000,1342000,5637,73
37000,1342000,5638,81
45000,1342000,5639,67
53000,1342000,5640,75
61000,1342000,5641,77
69000,1342000,5642,79
77000,1342000,5643,64
85000,1342000,5644,47
93000,1342000,5645,46
101000,1342000,5646,39
109000,1342000,5647,63
117000,1342000,5648,36
125000,1342000,5649,18
133000,1342000,5650,21
141000,1342000,5651,10
149000,1342000,5652,4
157000,1342000,5653,17
165000,1342000,5654,64
173000,1342000,5655,77
181000,1342000,5656,74
189000,1342000,5657,76
197000,1342000,5658,72
205000,1342000,5659,72
213000,1342000,5660,70
221000,1342000,5661,80
