"x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
141000,1350000,5355,0,1,5,0,0
157000,1350000,5357,1,1,9,0,0
165000,1350000,5358,7,5,27,6,0
173000,1350000,5359,9,6,46,14,0
181000,1350000,5360,3,0,56,18,0
189000,1350000,5361,0,8,53,29,0
197000,1350000,5362,0,14,42,32,0
205000,1350000,5363,0,9,51,27,0
213000,1350000,5364,1,29,29,33,0
221000,1350000,5365,1,11,45,40,0
229000,1350000,5366,0,12,38,39,0
237000,1350000,5367,1,25,22,47,0
245000,1350000,5368,0,35,6,56,0
253000,1350000,5369,1,23,11,56,0
261000,1350000,5370,0,28,12,52,0
269000,1350000,5371,1,18,18,63,0
277000,1350000,5372,1,20,15,61,0
285000,1350000,5373,0,26,9,63,0
293000,1350000,5374,6,33,13,51,0
301000,1350000,5375,3,27,9,48,0
309000,1350000,5376,2,29,5,49,0
317000,1350000,5377,0,16,3,22,0
333000,1350000,5379,0,0,0,1,0
341000,1350000,5380,0,1,0,1,0
-27000,1342000,5630,1,1,0,0,0
-19000,1342000,5631,37,32,0,0,0
-11000,1342000,5632,67,6,0,0,0
-3000,1342000,5633,75,0,0,0,0
5000,1342000,5634,73,0,0,0,0
13000,1342000,5635,79,0,0,0,0
21000,1342000,5636,65,8,0,0,0
29000,1342000,5637,66,8,0,0,0
37000,1342000,5638,23,60,0,0,0
45000,1342000,5639,20,51,0,0,0
53000,1342000,5640,47,29,0,0,0
61000,1342000,5641,75,2,0,0,0
69000,1342000,5642,76,3,0,0,0
77000,1342000,5643,53,11,0,0,0
85000,1342000,5644,29,17,1,0,0
93000,1342000,5645,18,11,20,3,0
101000,1342000,5646,4,12,27,3,0
109000,1342000,5647,2,38,28,8,0
117000,1342000,5648,0,17,18,10,0
125000,1342000,5649,0,7,11,10,0
133000,1342000,5650,0,16,0,9,0
141000,1342000,5651,0,7,0,5,0
149000,1342000,5652,0,2,1,2,0
157000,1342000,5653,2,10,6,4,0
165000,1342000,5654,3,6,45,24,0
173000,1342000,5655,3,8,56,24,0
181000,1342000,5656,0,9,60,23,0
189000,1342000,5657,0,4,45,41,0
197000,1342000,5658,0,5,37,33,0
205000,1342000,5659,0,2,55,24,0
213000,1342000,5660,0,13,52,21,0
221000,1342000,5661,0,24,27,42,0
229000,1342000,5662,0,8,48,33,0
237000,1342000,5663,0,13,29,53,0
245000,1342000,5664,0,29,11,59,0
253000,1342000,5665,0,19,19,66,0
261000,1342000,5666,1,26,27,53,0
269000,1342000,5667,0,34,16,44,0
277000,1342000,5668,0,14,16,57,0
285000,1342000,5669,3,27,4,64,0
293000,1342000,5670,2,32,5,66,0
301000,1342000,5671,4,36,2,53,0
309000,1342000,5672,0,41,4,43,0
317000,1342000,5673,0,25,3,40,0
325000,1342000,5674,0,0,2,3,0
333000,1342000,5675,0,20,3,35,0
341000,1342000,5676,3,32,7,37,0
349000,1342000,5677,2,19,2,14,0
-19000,1334000,5927,40,19,0,0,0
-11000,1334000,5928,58,15,0,0,0
-3000,1334000,5929,67,5,0,0,0
5000,1334000,5930,76,0,0,0,0
13000,1334000,5931,67,6,0,0,0
21000,1334000,5932,63,10,0,0,0
29000,1334000,5933,58,11,0,0,0
37000,1334000,5934,16,62,0,0,0
45000,1334000,5935,18,54,1,0,0
53000,1334000,5936,47,15,0,0,0
61000,1334000,5937,64,4,0,0,0
69000,1334000,5938,58,11,0,0,0
77000,1334000,5939,77,5,0,0,0
85000,1334000,5940,22,25,5,0,0
93000,1334000,5941,3,28,18,8,0
101000,1334000,5942,3,27,14,0,0
109000,1334000,5943,3,10,0,0,0
133000,1334000,5946,0,17,0,8,0
141000,1334000,5947,0,25,3,14,0
149000,1334000,5948,4,40,19,23,0
157000,1334000,5949,1,34,24,27,0
165000,1334000,5950,3,8,50,36,0
173000,1334000,5951,2,6,53,24,0
181000,1334000,5952,0,5,55,18,0
189000,1334000,5953,0,0,60,17,0
197000,1334000,5954,0,2,63,18,0
205000,1334000,5955,0,19,34,35,0
213000,1334000,5956,2,8,34,40,0
221000,1334000,5957,1,10,35,45,0
229000,1334000,5958,0,13,26,50,0
237000,1334000,5959,0,13,42,32,0
245000,1334000,5960,1,18,17,51,0
253000,1334000,5961,1,15,10,55,0
261000,1334000,5962,0,30,22,40,0
269000,1334000,5963,0,43,16,25,0
277000,1334000,5964,2,41,13,32,0
285000,1334000,5965,10,33,6,45,0
293000,1334000,5966,10,29,4,54,0
301000,1334000,5967,3,37,5,46,0
309000,1334000,5968,4,41,9,41,0
317000,1334000,5969,1,33,4,52,0
325000,1334000,5970,2,19,8,31,0
333000,1334000,5971,5,21,5,43,0
341000,1334000,5972,11,17,9,41,0
349000,1334000,5973,5,26,4,36,0
357000,1334000,5974,3,7,1,5,0
-19000,1326000,6223,39,2,0,0,0
-11000,1326000,6224,72,1,0,0,0
-3000,1326000,6225,69,5,0,0,0
5000,1326000,6226,63,13,0,0,0
13000,1326000,6227,65,6,0,0,0
21000,1326000,6228,72,0,0,0,0
29000,1326000,6229,69,0,0,0,0
37000,1326000,6230,53,14,0,0,0
45000,1326000,6231,49,22,0,0,0
53000,1326000,6232,56,18,0,0,0
61000,1326000,6233,54,19,0,0,0
69000,1326000,6234,70,2,0,0,0
77000,1326000,6235,48,8,1,1,0
85000,1326000,6236,21,5,10,0,0
93000,1326000,6237,11,10,14,4,0
101000,1326000,6238,1,43,23,11,0
109000,1326000,6239,1,6,4,2,0
141000,1326000,6243,3,0,0,1,0
149000,1326000,6244,3,34,23,22,0
157000,1326000,6245,5,21,18,43,0
165000,1326000,6246,0,26,12,55,0
173000,1326000,6247,0,18,30,57,0
181000,1326000,6248,0,32,23,47,0
189000,1326000,6249,0,26,27,45,0
197000,1326000,6250,0,6,41,47,0
205000,1326000,6251,1,4,68,9,0
213000,1326000,6252,0,8,41,42,0
221000,1326000,6253,1,26,32,51,0
229000,1326000,6254,0,17,35,49,0
237000,1326000,6255,0,1,67,21,0
245000,1326000,6256,1,12,21,56,0
253000,1326000,6257,1,16,12,59,0
