"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
133000,1438000,2098,0,30.4992711821523,0,0,7.21343743412295,0,0,13.0956017877709,0,0,36.095062179948,25.3981915613659,0,0,0,0,0.987639035307765,0,6.71367921824436,0,0,108.74328724888,6.79536211457407,0,0.751065264880778,0,0,0,1.95699361456735
141000,1438000,2099,0,0.960741489432545,0,0,9.08689760349123,0,0,30.7512211534727,0,0,0.846414089805689,0,0,0,0,0,0,0,0,0,0,191.542421039121,22.6658153661449,0,37.9247733430931,0,0,0,9.21508418306549
149000,1438000,2100,0,0,0,0,115.061734545949,0,0,39.6469794299762,0,0,0,0,0,0,0,0,0,0,0,0,0,288.523123918871,19.1814387004436,0,9.07643222601488,0,0,0,0
-19000,1430000,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.16685889334,0,0,0,0,0,0,0,0,0,0
-11000,1430000,2376,0,0,0.0555905663755129,0,0,0,0,0,0,0,0.0555905663755129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1430000,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1430000,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1430000,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85903661433313,0,0,0,0,0,0,0
21000,1430000,2380,0,0,0,0,0,0,0,0,0,0,2.45560800382755,0,0,0,0,0,0,0,0.364897869962867,0,0,3.27467753119869,0,0,0,0,0,0,0.548225543365571
29000,1430000,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435369137227733,0,0,30.2669210987947,0,0,0,0,0,0,0
